Fon,French
nù sìn,se désaltérer
xò gblă,"manquer le but (à la chasse, au ballon)"
hlɔ́nhlɔ́n,force
Un nɔ jló mɔ̌ ă,Je ne veux pas cela.
Bo kan byɔ ye ɖɔ,Pour lui demander pourquoi
A ma ze hwan ɖo wema ji a jɔhɔn na ze wema,"  Si tu ne mets pas un morceau de brique sur le papier, le vent l’emporte"
Hɛ̆n ɖokpó ɔ́ nú wɛ̀ mì jɔ̀ sín,Nous sommes de la même famille.
"Nyɔ̀ɖáxóví, nyɔɖaxó, nyɔxó, nyɔxónɔ̀",Vieille femme
bo lo zɔnlin ɖi wɛ,en marchant doucement
nukúndò - nukúnsómὲ,orbite de l'oeil
xò ɖɛ̀ d'é jí,bénis-le
Un nɔ ku dlɔ nyanya a.,Je ne fais pas de cauchemars
Xεvi we wε ɖo xɔ ta.,Il y a deux oiseaux sur la case 
azɔ̀ tɛ́ a nɔ wà,quel est ton métier
nylá nukún mὲ,ne pas être au goût de quelqu'un
Nùhlúnɖɔ́ yètɔ́n wɛ́ zɔ́n bɔ̀ Aklúnɔ́ sɛ́ dàn aɖinɔ gègé dó yĕ,Leurs murmures firent que le Seigneur envoya contre eux des serpents venimeux.
Gbɔ̀n jĭ cè,Passe par moi.
azɔ mitɔn lε bi vɔ,tous nos devoirs sont finis
tanti wa sa mɔlikun kpεɖe nu mi,miss viens me vendre un peu de riz
Lò ɔ́ mì gbɔ̀ gblĭgbɛ tɔ̀n,Le crocodile avala le cabri d’un seul coup.
Xwe tεnwe gleta ɔ tɔn.,Les sept maisons du village
"Sunhweɖíɖí, sunhwleɖíɖí",Lune très brillante
e jawe e jawe a nu ɖokpo ɔ wε,il vient il ne vient pas c'est pareil
É yì nakí bá gbé nú nɔ tɔn na dó ɖà nù ɔ̀ ná,Il est allé chercher du bois pour que sa mère prépare à manger.
Tɔ ce sin xɔntɔn,Un ami à mon père.
jujɔ ce nɛ́,c'est mon caractère
hɔ̆n - vɔ̆n,ver de guinée
sin ɔ kó fyɛ́ à,l'eau a-t-elle commencé à bouillir
Bill jlo na da mi.,Bill veut m'épouser 
mɛ̀ ká hù aji ɔ́,qui a gagné
A tuwun ɖɔ̀ un kó ɖɔ́ nú émí,Tu sais que je te l’ai déjà dit.
jεmεlàn - landójὲ,viande salée
E mya hɛɛ,C'est d'un rouge trop vif.
a mɔ akwɛ sin saki towe à,est
Vì tɔ́n ɛ̀,Elle est à terme.
É ylɔ́ nù nyí dó tómɛ́ n’í b’ɛ́ hun ta ɖù,Il a dit une incantation à son oreille et l’autre est devenu fou.
Un ɖó gɔ̀n ɖé ă,Je n’ai pas où recevoir.
"Wema ɖo susu, azɔmεvi ɖo nukplɔnmε xa wε","Le livre fermé, l’élève répète sa leçon."
e nyí nŭ ɖò mɔ̀ ɔ́ gbɛtɔ́ ká sixú gló kú yí fó à,dans ces conditions l'homme peut-il vaincre définitivement la mort
un ɖo wɔxuxu,j'ai du pain
nyɔ̀núví atɔ̀n ɖè lɛ́ wɛ̀,ce sont trois jeunes filles
Xwé tówé gbé fá,Ta maison est calme.
"Zinzεn wiwi lε bε yeɖee bo yi hannuhannu vɔvɔ lε gɔn, yetɔn ahwan ye, ye hu ye mε bi bo bε cyɔ yetɔn lε wa xwe gbe","Les fourmis noires se portèrent alors chez les termites rouges, leur livrèrent bataille, en exterminerent et transportèrent les cadavres dans leur demeure."
"Ji na ja cobɔ e na xo gan atɔɔn gbadanu tɔn a, abi ?","Il ne va pas pleuvoir avant cinq heures de l'après-midi, n'est-ce pas ?"
gbago - sù - suví - xà - xasùn,panier
a kpo ɖò kpɛví dín,tu es encore trop petit
mɛ elɔ,celui
sun lín,la lune est apparue
Un ɖo xomɛsin ji,Je suis en colère.
É nɔ́ nɔ̀ mɛɖe jɔ́nú ă,Il ne reste pas au milieu des gens.
nyaɖe ɖu gan,un homme est nommé chef
E su kpɔ din !,C'est beaucoup !
"Do azɔmε ɔ, tabilo gege ɖe mε.","Dans la classe, il y a plusieurs tableaux : "
un jlo tɔ ce ɖɔ ni wa ɖu nu egbe gbadanu,j'ai invité mon père à manger ce soir
Xwè alɔkpa tɛ́ lɛ́ wɛ ?,De quelles fêtes s’agit-il ?
e hwyɔ́ akpa tɔ̀n,il a mis des compresses d'eau chaude sur sa plaie
"Gbadanu tɛgbɛ tɛgbɛ ɔ, e nɔ yi kpɔn ɛ ɖo xwe tɔn gbe","Tous les soirs, il allait la voir chez elle."
Etɛ wutu xɔvɛ sin mɛ tobutobu enɛ ɔ lɛ ?,Pourquoi tant de monde a-t-il faim ?
Đo hweninu ɔ,A ce moment là
ɖŏ gbὲ,être vivant
Nɔcenɔvinyɔnu kpɛvi,Ma tante maternelle plus jeune que ma mère.
A na nɔ̀ mì gɔ́n kpɛɖé à ?,Resteras-tu quelque temps chez nous ?
Wă gɔ̆n ce,Viens chez moi.
e vɔ́ bì kásá kásá,c'est complètement terminé
É nyí Piɛ́ɛ̀. - Piɛ́ɛ mɛ̆ ? - Piɛ́ɛ Bokɔ́,C’est Pierre. - Pierre comment ? - Pierre Bokɔ́.
gbà tómὲ - nyì zò nú mɛ - xò tómɛ̀,gifler
un nɔ ya wu fɔn a,je me réveille tard
E fyá yì toxo mɛ̀,Il courut à la ville.
Un ɖò Măwŭ gbe xwɛ̀,Dieu merci.
Tokpɔn ɖetɛ́ ɖo Jánma ɔ ?,Quelle région de l'Allemagne ?
Wuntá xo a ɖè cóbó dɛ́ɛ̀n,Tu es en train d’échouer sans le savoir.
awlìn - awò - kpà - kpà xó - kpànú - kpàxó - nùhwìhwlà - nùhwlàhwlà - wɔ̆ yɛ̀ - wigò - xoɖoxomɛ̀,secret
A sìxú zɔ̀n mɔ̆ bó tɔ́n ă,Tu n'es pas présentable.
e ji we ɖo londres wε,est
E jăn mì gbɔ̀n fí bĭ,Je suis menacé de tous côtés.
gbìjɔ́ - gbὲɖέ - hùnhún - jò - xúxú,secouer
kplá nù élɔ́ ɖ'átín kɔ̀,accroche cela à l'arbre
Amɔ e ba nu bubu lε gbɔn fi bi.,Mais il chercha partout les objets disparus
akán - gò - kpà,carapace
Un gbɛ asi kpodo vi sunnu we kpo vi nyɔnu we kpo,Je suis divorcé avec deux fils et deux filles.
Kpɔn lee Kofi klo gbɔn e,Regarde comme Kofi est gros.
Nusatɔ ɔ ɖo do ɔ kpa.,Le marchand est au pied du mur 
fí è un ka xwe ɔ́ mi ko tuùn ali tɔ̀n,et du lieu où je vais vous connaissez le chemin
mi yì xwé,allez à la maison
wà alànnŭ - xò lɔ̀,commettre une infamie
"E tɔn sin azin ɖevo mε, un wɔn ă","Elle est sortie d'un autre oeuf, je ne l'ai pas oublié"
tonuklájɛ́tɔ́ lɛ́ wá gba to ɔ́,les colonisateurs s'emparèrent du pays
E dŏ avŭn tɔn tɔ̀,Il a noyé son chien.
fitε yi a ɖe azɔmε a,où vas-tu à l'université
Mɛ̌si gɔ́n un ɖé à cé ?,Est-ce que je ne suis pas auprès du maître ?
un na wá jɛ́n wɛ̀,je viendrai sans faute
É gbà ta dó dò wú giwùn,Il a cogné la tête contre le mur avec bruit.
wun ma kpɛn we ó,n'aie pas honte
vi nɔ ɔ ɖo bo wli nu vi tɔn wε,la maman soigne ses enfants
E su gajaa,"II a grandi énormément, il est devenu un vrai géant"
e dín nú tɛ́nkpɔ́n tɔ̀n,elle a été admise à son examen
nu tɛ wutu ye ɖo na si i,pourquoi doivent
Pipan ɔ nɔ din nu ali ɔ vo ɔ.,Le train passe quand la voie est libre 
Hwenu e jawe ɔ,Avenir
Ji ɖo jija wε cobɔ tɔsisa ɔ gba gle ɔ,"Bien qu’il ne pleuve pas, la rivière inonde le champ ."
"Mɔ̀ kɛ́ɖɛ́ wɛ̀ ă, é nɔ́ lɛ́ dó vɛ̀ nú azɔ̆ tɔ̀n","Ce n'est pas seulement cela, mais encore il néglige son travail."
e nɔ́ bló mɛjɔmɛ,il fait le personnage important
É jɛ̀ nukúnnú mɔ́ jí,Il commença à voir.
Mi d'asa tɔ ɔ.,Nous avons traversé le lac
Woosun ɖo azan gban nukun ɖokpo.,Décembre a 31 jours 
e sìxú wà nŭ ɖĕbù ná ă,on ne peut rien en faire
"Égbé tɔ́n kó wá yí nɛ́, é kpò sɔ tɔ̀n","Les préoccupations d’aujourd’hui sont passées, il reste celles de demain."
yĕ nɔ̀ sébíblá mɛ x'ɛ́,ils sont restés dans le complot avec lui
E bɔ̀ zun ɖo nú mì,Il a commencé à m’insulter.
ɖè axì kpɔcɔnu,marchander en offrant un prix ridiculement bas
É hɛ̀n nyìkɔ́ ce nu,Il a médit de moi.
yi sɔ́ aɖì ɖó akakaɖa ta,va prendre du savon sur l'étagère
un ɖi ɖɔ a nyla hun,je pense que tu es méchant
e mɔ lanmɛ,il est grand
é nyì kpáke jí,il a regarde en haut en rejetant la tête en arrière
Un gbɛ́ nyɔ̀ nú nɔ cè,J’ai refusé de faire plaisir à ma mère.
Jĭ ɖò jija wɛ cɔɔ̀n,Il pleut à verse.
É ná ná hlɛ̆n Lɛ̆gbà,Il fera une offrande au Legba.
éyɛ́ lan ce ɖíè mi yí bó ɖù,ceci est mon corps prenez et mangez
A fo azɔ towe,Tu finis ton devoir
tὲn élɔ́ mὲ - tὲn nέ ɔ́ mέ ɔ́,en cet endroit
xwè sɔ̀,ménager ses forces
"Nukplɔnkplɔn hwenu ɔ, Michel nɔ dan mlamla a","Pendant la classe, Michel n'est pas distrait."
dŏ kpέ vĭ,gâter un enfant en le considérant toujours comme un bébé
Vi mimε ɖo awu mimε lε,Les enfants soigneux ont des vêtements propres.
Nu tɛ ɖe mɛ ?,Quel intérêt ?
Kpl’ɛ́ yì,Accompagne-le.
Dada yi Aladaa,Le roi est allé à Allada
éhɔ́nmὲ - élɔ́,ceux-ci
Sezar yi gbe ɖɔ,César répondit.
Kɔ xu mi a ?,Avez-vous soif ?
Un na tε kan sɔ zanzan.,Je vais téléphoner demain matin
dŏ xɛsì nú mɛ - gbà hŭn dŏ nú mε,effrayer quelqu'un
Sɔasi ɔ kpodo sɔvi ɔ kpo ɖo wezunkan wε ɖo gle ɔ mε,La jument et le poulain courent dans le champ.
mɛnvóvo,une personne noire
nyɔnu ɖokpo kpo vi tɔn,une mère et sa fille
"Un hɛ̀n nyiɖéé, má nyí mɔ̆ à ɔ́, na xó è","Je me suis retenu, sinon je le frappais."
un yì fí tí ă,je suis allé nulle part
Mɛ̀ nahún wɛ́ nyí bɔ̀ nuxíxá ɔ́ ɖɔ̀ ?,"D’après le texte, comment se définit-il ?"
Ganxixo ɖokpó mɛ̀,Dans une heure.
zunkanmɛli swɛɛn,un sentier étroit
Hwezivɔ́ wέ ɖò nù wá xá mí wὲ,C'est le paludisme qui me fait souffrir.
Afɔ ɖe lε ɖigbe ɖo escalier ɔ mε,Des pas retentissent dans l’escalier.
johɔn kpo ɖo nyinyi wε,le vent continue à souffler
Un ba robu towe ɖohun kpe.,Je veux une robe pareille à la tienne 
bèlèloou,rire taquin
Ji hwenu wε,C’est l’hiver
kan ɔ gbɔ́jɔ́,la corde s'est détendue
E vivi nu sɔ bo e ɖɔ.,Le cheval soulagé dit alors plein de reconnaissance 
ma ɖi xεsi nu mi o tɔ ce,ne crains rien pour moi papa
klé - kὲ,entr'ouvrir
Ye ko za kɔxo ɔ ji.,La cour est balayée 
Azɔn yi atɔn,Il y a trois jours
vì é wá sɔ̀ ɔ̀ kó yì,l'enfant qui est venu hier est parti
dŏ gbè sùn,saluer la nouvelle lune (pour obtenir des faveurs)
Un na ɖyɔ́ nù élɔ́ xá wè,Je vais échanger cela avec toi.
Vi lε fɔn a ?,Les enfants sont-ils réveillés ?
e sɔ nɔ ɖɔ xo a,il ne parle plus
É fúɖá hú nukúnnɔ́ ta,C’est plus léger que la tête d’un aveugle.
Lɔ̆n yì jɛ dòdòmɛ,Jette-toi en bas.
wazɔ xa mi,travailler avec nous
E nɔ wli ye bo nɔ ɖu,Il les attrape et les mange.
hanlansatɔ́ - lansatɔ́,charcutier
A ɖɔ,Tu dis
Mì ná ylɔ́ bokɔ́nɔ́ bɔ̀ é ná sú kúlí nú ví ɔ́,Nous allons appeler le sorcier et il fermera le chemin de la mort pour l’enfant.
avɔ élɔ́ jó,ce pagne a déteint
E nɔ se mεsi ɔ sin xo lε bi.,Il écoute toutes les paroles du maître 
é hù akwɛ́ cè,il m'a fait perdre mon argent
Un nɔ tεnkpɔn kpεɖe.,Je me débrouille à peu près
"Din ɔ, mi wlan nu","Maintenant, prenez des notes."
Si mε,Sois sage
Gɛn ɔ wi bo we,L’épervier est noir et blanc.
Mi gɔn hwɛ do miɖee,Cessez de vous accuser l'un l'autre.
Bo yì,Va-t-en.
Jikpamεnɔtɔ ɖo salada do wε.,Le jardinier repique ses salades 
G'ɛ́n ɖó dò wú,Appuie-le contre le mur (Găn ɛ...).
e tɔ́ wù dó mì,il s'est caché de moi
agŭn - akìn - alɔ̀ - alinkàn - logó - logómὲ - lotomὲ,hanche
degénɔ́ énɛ́ ɔ́ lɛ́ bí kan dín,ce vieillard est encore très alerte
mí yí gbe ná à,avons-nous acceptés
É nyɔ́ kún káká,Il est de très bonne race.
nùsúnnú ɔ́ lólwé dín,la sauce est très légère
Kɛkɛ́ cé tɔ́n,Mon vélo est crevé.
eo amɔ a hεn a na nu kafe,non mais tu peux boire du café
yè ɖó gbe kpɔ́ ɖò hɛ̀nnú ɔ́ ă,ils se sont désunis dans la famille
e jì vì kpɔ́n ă,elle n'a jamais eu d'enfants
abɔji,épaule
A hɛn ɔ a na hwe xojlawema ce nu a ba ɔ,Tu peux m'emprunter mon journal si tu veux.
Cεju ɖokpo ɔ nukun hwihwe kanɖe ko wε.,Une minute vaut soixante secondes
àkwέví - lè,intérêt
Mi vε wa !,Tâchez de venir !
Sin gbe nɛ gbe ɔ,Depuis ce jour-là
kú akàn,être dévoilé dans une consultation d'ordalie
fɔ̀n ɖò nukún mὲ,être chassieux
Axɔ́ è nɔ sú mi ɔ́ ni kpé mi,Contentez-vous de votre paie.
azinkposatɔ wɛ nyi brian,brian est marchand de meubles
un jɛ te siso ɔ ji,je descends la montagne
johɔn syɛnsyɛn hɛn atin lɛ sin ala wɛn,le vent fort a brisé les branches des arbres
Co a lɛ yi ranga mɛ ɔ,Si tu retournes au hangar
"Enyí un mɔ̀ mɛ ɔ́, un na sɔ́ sɛ́ dó è","Si je trouve quelqu'un, je le lui enverrai."
é ɖò kú sú xó wɛ̀,il est en train de crier à la mort
e wà ɖagbe nú mì,il m'a fait du bien
Zinzan nyanya,Mauvaise action.
E sìxú mɔ́ ɛ̀ ă,Il est introuvable.
asísí cé wɛ̀,c'est ma co
ayikún yètɔ́n sɛ́n káká bó zɛ̀ jlɛ́ wú,leurs haricots ont produit au-delà de toute mesure
Un mɔ lɛngbɔ kpodo gbɔ kpo gege ɖo glesi lɛ gɔn,"J'ai vu beaucoup d'étables, de chèvres et de moutons chez les paysans."
nɛ̆ gbɔ̀n bɔ̀ a ɖò wunvɔ kpɔ́n mí wɛ̀,pourquoi me regardes
E ɖo xwe ɔ gbe ă,Il n'est pas dans la maison
atá ɔ́ cí biwùn,le gâteau est tombé
ali gblegble,des routes mauvaises
xò dlɔ̆,envoyer un songe
Ahóo !,Je m’en lave les mains !
Sinnu gbla sin mi,J'ai soif
dŏ mε gàn,mettre en prison
mí gbɛ́ xó towé,nous n'acceptons pas ce que tu as dit
glɔjɔɔ̀ - lɔjɔɔ̀,grand et mal fait
E ɖo atin zɛ nu ye wɛ,Il leur fend du bois.
É sù yĕ bì nukún mɛ̀,Il avait de l’importance aux yeux de tous.
alăfíà - ayijàyĭ - ayijεdò - fífá - gedemε - vivomimɔ̀ - vuvomumɔ,paix
Nɔ mitɔn nɔ hεn mi gble tawun hwenuɖe mi ɖo kpεvi ɔ.,Notre mère nous gâtait beaucoup quand nous étions petits
hɛn mi ɖo tè syɛ́nsyɛ́n,tiens-moi debout bien fort
tó,l'oreille
Mɛ wɛ Kɔku ɖɔ nu Sika ɖɔ e ɖu mɔlikun,Qui Koku a-t-il dit à Sika qui avait mangé le riz ?
agbetawoyó,mer
É nyɔ́ nú mì,Je suis en bonne santé.
É gbɛ́ kpò ɖ’àyìhún dá wɛ̀,Il continue à s’amuser.
do axisinɔ lε nɔ su akwε a,parce que les clients ne paient pas
Daagbo ɖo azɔkwε nu wε.,Grand-père fume sa pipe 
Mi ɖo asi ɖokpo amɔ vi gege,Vous avez une femme mais beaucoup d'enfants.
E ci hun ɖɔ ji na ja hwemε.,Mais il semble qu’il va pleuvoir dans l'après-midi
mɛ ɖokpo,une personne
é vɔ̀ bì klókló,c'est terminé complètement
Un ɖì Măwŭ,Je crois en Dieu.
un vɛ dó a na mɔ ɛ wɛ sín,je croyais que tu l'aurais vu
Bi wɛ gble,C'est tout abîmé.
Belgique sin axɔsu nyɔ ɖɛkpɛ tawun,Le roi de Belgique est un homme charmant.
E xɔ avɔ bo na tɔ cokoto kpεvi,Il a acheté du tissu pour coudre une culotte
"Nu ɖebu ɖo jijε wε ɔ, e na ɖiɔ gbeta a","Quoiqu'il advienne, il ne changera pas d'avis ."
Un ɖó hunsin ɖagbe,J’ai une bonne santé.
E jɛ gbotoa,II a le pian
Na mi sin,Donne-moi de l'eau.
ye jinjɔn yɛtɛn atin ɖe sa,ils se sont assis à l'ombre d'un arbre
mi nɔ yi wan nu nɔzo mitɔn ɖesu,aimez aussi votre prochain
un ɖì kú xɛsì,j'ai peur de la mort
lìlɔ́ - lùlɔ́,cassure
un kpa ayoma ɔ bo sεn,j'épluche et je coupe les oignons en rondelles
E ɖɔ hwenu kó dín dó émí,Il dit qu’il était déjà en retard.
hun hɔn ɔ́ vaà,ouvre la porte toute grande
Un ɖi ɖɔ ye mε bi na din.,J'espère qu'ils vont tous réussir
e nyɔ zizan amɔ hwe ɖe lɛ nu ɔ un nɔ wa hwenu ɖe hun ɔ o ɖido ɔ,c'était pratique mais parfois j'arrivais quand le bus était déjà parti
nyà àkwέ ɖò mε así - nyà àkwέ ɖò mε'sí,emprunter de l'argent à quelqu'un
Afin gba do gle lε e.,Les cendres recouvrent les champs 
wèmá élɔ́ hú dó mí ɖaxó,ce livre m'est indispensable
A sù ɖaxó hú mì,Tu as grandi plus que moi.
A nyɔ xó hɛn xomɛ̀ ă,Tu es bavard.
É kpò nyɔ̀xó tlálá,Elle a beaucoup vieilli.
blŏ páskwà,faire ses pâques
un wá gbɛ ɖo,je suis est né à
Gbɛtɔwikukɔn alo ya do nu mɛ kpodo adakacomɛwu kpo sɔ ɖo na ɖe ă,"Nul ne sera soumis à la torture, ni à des peines ou traitements cruels, inhumains ou dégradants."
tɔjihun lɛ ɖo ɖiɖiɖiɖi wɛ gbɔn tɔ ɔ ji,les bateaux glissent sur l'eau
vì ɔ́ lɛ̀ wŭ bó sá ami xlala dó wŭ,l'enfant s'est lavé et s'est enduit légèrement le corps d'huile
remi ya vi tawun amɔ mɛsi tɔn kple yi azɔmɛ vi ɖe lɛ sin nukɔn bo ɖɔ n'ɛ ɖɔ,remi pleura amèrement mais l'instituteur le présentant devant les autres élèves lui dit
Mε w’ε na j’a jo do ?,Qui volera-t-il ?
káká sɔ́ yì,jusqu'au bout
e fɔn sin gan atɔn mε,il est réveillé depuis trois heures de l'après
un na yi aximε kpo na xɔ nu kpεɖe,je vais aller au marché et je vais acheter quelque chose
singbamɛ,innondation
É kɔ́n nɔ́ bló mɔ̆,Mais on fait ainsi.
Bɔ e nɔ se wuvɛ enɛ ɔ.,Et ils sentent la douleur.
gbógbó è mĭ ɖɔ̀ xó nɛ́ ɔ́ un sɔ̀ mɔ́ ɛ̀ gbeɖé ă,depuis que nous avons échangé sur cela je ne l'ai plus vu
É sù gajaà,Il est devenu un vrai géant.
e ná xɔ̀ azăn'tɔ̀n,cela durera trois jours
Fɔtó tɔ́n cí faàn,Sa photo est floue.
e dín nú tɛ́nkpɔ́n tɔ̀n,il a été reçu à son examen
sunzan nabí mɛ̀ mĭ ɖè,en quel mois sommes-nous
E nɔ ɖu nu ɖi ye ɖɔhun.,Il mange comme eux
É kú bó ɖò kacaà,Il est mort et son cadavre est raide.
Nú gbeɖókpɔ́ sín ayi mitɔn ní nyí nŭ ɖo gaàn ɖò gbɛtɔ́ lɛ́ bĭ nukún mɛ̀,Que l’union de vos coeurs soit visible aux yeux de tous les hommes.
Hun ɖevo na sun ɖo ceju ko mε.,Le prochain bus est dans vingt minutes 
polu nyi hunkuntɔ,paul est chauffeur
jezú zé wɔxúxú bó fɛ́n è,jésus prit le pain et le rompit
Xwlεkpatɔ ɔ ɖo xwlε lε kpa wε.,Le menuisier rabote les planches
Dó fɛnkpá nú mí kpɔ́n,Interviens en ma faveur.
Ðó agblo towe mɛ wɛ axɔsu ɖé na tɔ́n ɖè bo na kpé nukún dó togun ce wu,Car de ta contrée sortira un chef qui sera pasteur de mon peuple.
Mi ni tεnkpɔn,Prenons le risque
e ɖi ga sɔ mì ă,il n'est pas si grand que moi
e j'ajò - aní é fìn - é fìn kwɛ́,il a volé - qu'a-t-il volé - il a volé de l'argent
afɔ,pied
Nukun ce gba zin,Je vois trouble
un ɖɔ e ku wa o,je t'assure qu'il n'est pas venu
"Nŭ ɖĕe a blo ɔ́, un tuwùn ă","Ce que tu as fait, je l’ignore."
un nɔ ɖɔ nu kpodo ɖε ce kpɔn,je goûte avec la langue
"Εεn, un d’amlɔ kpεɖe","Oui, j'ai un peu dormi"
sinxwínú - sinxwízέn,filtre
vodúngbe é kó wá yí ɔ́,dimanche dernier
Tenɔkpɔ́n wíwá Aklúnɔ́ tɔ́n sín hwenu,Le temps de la venue du Seigneur.
é ɖò alagá tɔ̀n dó nú mí wɛ̀,il se démène pour moi
e jɛ kpò,il est tombé à genou
un sɔ́ mɔ̀ ta nú azɔ̀ ɔ́ ă,je me suis embrouillé dans le travail
Poesie nukiko wε jizangbe wε.,"Une poésie, c'est un sourire un jour de pluie"
agàságò,cadenas
To ɔ mɛ kwiji bɔ yɔkpɔvu lɛ bi sese e nɔ ɖo e… azɔ… azɔ nu wɛ. E nɔ ɖo siga nu wɛ.,"  Le pays est sale et tous les petits en totalité, ils fument… Ils fument la cigarette."
kɔ̀n ny’ayikúngbàn,répandre jusqu'à terre
E nɔ do tagba nu xɔntɔn tɔn lɛ a,Il ne dérange guère ses camarades.
mi hɛn ɔ mi na ɖɔ fiɖe na mɔ sunnu lɛ sin wulɛkpa ɖe ɔ a,pouvez
acɛgbigbà,faute
nɔ te kpɔ́n mí ɖò xíxátɛ̀n,attends
Mi ɖo na gbɔn denu.,Vous devez passer par la douane.
hɔ̀n wă sù mε - hɔ̀n yi sù,se réfugier auprès de quelqu'un
Đo fi ɔ,En cet endroit
E gɔ́ngɔ́n do ɔ́,Il a approfondi le puits.
E ɖo na ɔ ɖo Benin hwenu ɖe awovi ɔ jε ɔ,Il devait être au Bénin lorsque l'accident s'est produit
xɛ ɔ lɛ́ xú bɛ́ wè dawé ɔ́,l'oiseau redonna deux coups de bec à l'homme
e ɖu nu ɖo nuɖutε bo enε ɔ gudo ɔ e yi sinema,il a mangé au restaurant et après il est allé au cinéma
ɖŏ bŏ nú mε,envoûter quelqu'un
Un ɖo hwεjijɔ yɔywε ɖe lε bo ma na ɖo yi wan n'ε a,J'ai quelques bonnes raisons de ne pas l'aimer.
mɛ ɖe ɖo akpa ce ɔ ɖo folo ɖo flɛsɛɛ tɔn nu,mon voisin a des fleurs à sa fenêtre
flé nukún,tourner les yeux (à l'approche de la mort)
Sɔ kpεvi tasyεntɔ lε gbe nukɔn yi.,Les ânes têtus refusent d’avancer 
nyìbú ɔ́ sɛ́ hwɛ̆ ján,la vache a donné une ruade à jean
é ɖò sakaà,il est géant
Jĭ ɖò nù sɔ́ wɛ̀,Il va pleuvoir.
"Un nɔ̀ xwé tɔ́n gbé nú azăn mɔ̀kpán, un ka mɔ ɛ̀ ɖèjándéján ă",J’ai passé plusieurs jours dans sa maison et je ne l’ai pas vu du tout.
Gan xixo nabiɖe nu gbɔjε na to nu lε bi,Quelques heures de repos devraient tout arranger
"Togun e mɛ gbɛtɔ ɖe e bɔ nukɔn yiyi tɔn kpo nyɔna tɔn kpo na tɔn sin mɛ é ɔ̀, é ɖo na ɖo nunɔmɛɖè lɛ do wǔ tɔn",L'individu a des devoirs envers la communauté dans laquelle seul le libre et plein développement de sa personnalité est possible.
akasá,pâte de maïs fermenté
Un na xɔ nu,Je voudrais acheter.
Gbɔnyitɔ ɔ hεn gbɔ tɔn lε wu.,Le berger garde ses moutons
e vε lan mε n'i,cela lui a fait mal dans sa personne
E gégé dín,Il y en a beaucoup.
bo ylɔ vi tɔn lε bo ɖɔ nu ye ɖɔ,il appela ses enfants et leur dit
e wínnyá ɖyɔ̆vĭ,elle est devenue une jeune fille
bo un nɔ vun ɖa ce,et je peigne souvent mes cheveux
Mi nɔ na nu mε e yi gbe ganji lε.,On récompense ceux qui ont bien répondu
Atin ɔ ɖo koklojo nɛ ci wɛ,L’arbre jaunit.
vi ce yovozɛn wo ɖie,mon enfant voici dix oranges
Etε ye na nu ?,Que vont-ils boire ?
e kpéké kɔ̀ nú mì,j'en ai assez
Vĭ nabí a jì ?,Combien d’enfants as-tu eu ?
afɔgwede ce,mes chaussettes
Un ɖo nuɖuɖu na nɔvivisunnu ce wε.,Je fais manger mon neveu
é sɔ́ nù bó ɖò páwún,il s'est bien apprêté
hun ɖe ɖyɔ ɔ wefɔ tɔn nɔ ɖyɔ,quand le tam-tam change les pas de danse changent aussi
E si yi toxo ɔ mɛ a,On ne peut pas aller au centre-ville.
É sɔ́ wèmá tɔ̀,Il a caché le livre.
ɖŏ nukún tè,regarder attentivement
atín ɔ́ wú,l'arbre a poussé
xúxú gbèhàn,secouer des touffes d'herbes pour en faire tomber la terre
ajotɔ́ elɔ ɔ na wa hu mɛ gege,ce voleur finira par tuer beaucoup de gens
xwe ɖe wa yi ɔ un ɖo nu xwetɔ xwe ɔ tɔn ɖɔ nε wli bo nu awii ce ɖo jɔhɔn hwenu,l'an dernier j'ai demandé au propriétaire de la maison de s'occuper de mon chat pendant l'été
é hɛn  tɔn bu,elle a perdu son
dìdòtɔ́ - dùdòtɔ́ - nùdòtɔ́ - nùkúndótɔ́,semeur
é sɔ́ kwɛ́ ɔ́ jó nú mì,il m'a rendu l'argent
Ayunmlimlixotɔ lɛ ɖo mima ɖo wɛ,Les joueurs sont partagés en deux groupes.
